parent_joint,mesh_path,tx,ty,tz,r00,r01,r02,r10,r11,r12,r20,r21,r22
0,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/base_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/base_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/base_2.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/base_3.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/base_4.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
1,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/hip_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
1,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/hip_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
5,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/thigh_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
5,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/thigh_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
9,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/calf_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
9,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/calf_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
9,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/foot.obj,0.000000,0.000000,-0.213000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
2,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/hip_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-1.000000,-0.000093,0.000000,0.000093,-1.000000
2,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/hip_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-1.000000,-0.000093,0.000000,0.000093,-1.000000
6,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/thigh_mirror_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
6,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/thigh_mirror_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
10,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/calf_mirror_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
10,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/calf_mirror_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
10,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/foot.obj,0.000000,0.000000,-0.213000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
3,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/hip_0.obj,0.000000,0.000000,0.000000,-1.000000,-0.000000,0.000093,-0.000000,1.000000,-0.000000,-0.000093,-0.000000,-1.000000
3,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/hip_1.obj,0.000000,0.000000,0.000000,-1.000000,-0.000000,0.000093,-0.000000,1.000000,-0.000000,-0.000093,-0.000000,-1.000000
7,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/thigh_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
7,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/thigh_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
11,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/calf_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
11,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/calf_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
11,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/foot.obj,0.000000,0.000000,-0.213000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
4,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/hip_0.obj,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000093,-0.000000,-1.000000,-0.000093,-0.000093,-0.000093,1.000000
4,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/hip_1.obj,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000093,-0.000000,-1.000000,-0.000093,-0.000093,-0.000093,1.000000
8,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/thigh_mirror_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
8,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/thigh_mirror_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
12,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/calf_mirror_0.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
12,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/calf_mirror_1.obj,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
12,/home/kasai/work/dp/misa-wbc/../articara/models/unitree_go2/assets/foot.obj,0.000000,0.000000,-0.213000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
